tau,theta,MVI,Deli,AcorAr,MG
455,61,0.999888718,0.999886583,352.4295324,26.54422965
155,41,0.999866199,0.999865584,508.9165891,29.18626331
605,41,0.999848262,0.999848125,170.4464044,27.37494627
405,81,0.999938798,0.99993862,868.9383722,27.47321513
355,81,0.999951822,0.999944397,970.6347813,28.14718233
555,161,0.999971152,0.999969895,3637.189273,30.01069176
605,161,0.999970108,0.999969564,3397.172938,29.23574705
105,101,0.99997565,0.99996934,7227.140088,60.49829661
55,61,0.999957382,0.999955064,5404.634904,66.16343944
205,61,0.999907243,0.999906523,883.2403666,30.26413302
505,81,0.999949442,0.999942229,702.8227705,26.78130181
255,61,0.999899724,0.999899124,665.1512738,28.44463953
505,101,0.999965673,0.999965238,859.8652599,27.47321513
105,21,0.999698213,0.999698174,193.1425508,27.47321513
405,41,0.999846534,0.999846487,203.8122493,26.61629286
555,21,0.999689006,0.99968896,61.26350279,29.25681847
205,101,0.999975777,0.999970826,3117.361487,38.27772444
205,1,0.978180578,0.978176208,10.9652387,37.20850777
455,1,0.984481425,0.984471369,14.01876971,39.8630296
555,101,0.999964576,0.999964401,747.9098723,27.11621737
555,141,0.999969033,0.999966277,3163.028565,28.86998276
305,21,0.999692221,0.999692119,59.45062734,27.33416948
655,21,0.999716128,0.999712811,80.48507378,29.88184775
255,21,0.99969989,0.99969951,73.95831912,26.92963193
255,1,0.978496879,0.978492053,11.98878416,37.9722011
255,141,0.999977613,0.99997358,5332.474621,41.10736212
605,21,0.99976425,0.999740129,50.0267655,29.57913828
455,21,0.999705772,0.999705328,59.36919796,28.54770729
355,21,0.999755065,0.999731614,54.52552837,27.75233043
655,1,0.993979004,0.993719774,2.575599409,40.96008058
405,161,0.999973682,0.999972874,4631.393629,34.09049771
555,21,0.999762487,0.999738496,50.09100565,29.25681847
505,1,0.993933684,0.993678907,2.021499553,40.18441111
405,61,0.999890138,0.999890083,399.401354,26.66868379
255,161,0.999979251,0.999975684,7153.613436,44.9112807
605,41,0.999849185,0.999848689,175.8019735,27.37494627
355,81,0.999939346,0.999938743,996.73591,28.14718233
405,41,0.999849258,0.999846752,227.5652443,26.61629286
55,81,0.999961748,0.999955449,9238.760957,75.42505606
355,101,0.999978074,0.999970117,1382.036872,29.8248699
455,181,0.999976122,0.999974666,4403.874229,34.10180275
105,41,0.99988558,0.999881392,865.6903223,33.79806112
5,1,0.98155601,0.981548986,9.023017912,27.47321513
655,181,0.999973216,0.999972073,2608.424639,29.55865137
655,41,0.999846993,0.999846942,161.6364354,27.58957249
355,121,0.999970278,0.999970076,2320.60251,31.82994294
355,41,0.999876796,0.999864415,358.3373177,26.52400128
155,61,0.999919895,0.999919834,1399.827203,33.92505637
55,1,0.978171271,0.978166426,5.177594439,32.13654058
205,21,0.999752795,0.999729536,75.16225932,26.60425075
205,141,0.999978087,0.999977078,6564.636533,47.68750787
255,41,0.999853254,0.999850681,310.900573,26.78631423
255,21,0.999677067,0.999677031,70.27455861,26.92963193
605,61,0.999887424,0.999887371,286.8613612,26.6205658
405,121,0.999968703,0.999968377,2086.849043,30.30549204
505,121,0.999965971,0.999965843,1787.257507,28.45540266
405,81,0.999938363,0.999937791,882.0820313,27.47321513
455,161,0.999972308,0.999971957,4196.473914,32.32930726
