tau,theta,MVI,Deli,AcorAr,MG
305,81,0.999941715,0.999941632,1136.514272,29.21894939
155,61,0.999919371,0.999915803,1284.973009,33.92505637
105,121,0.999977932,0.999972347,10189.6939,67.61071323
505,61,0.999887635,0.999887611,328.424331,26.51511334
605,161,0.999969714,0.999969582,3352.272798,29.23574705
305,121,0.999972816,0.9999718,2759.668938,34.05679297
505,81,0.999937962,0.999937794,719.7848761,26.78130181
455,161,0.999972909,0.999971464,4237.602389,32.32930726
405,161,0.999974643,0.999971824,4654.904302,34.09049771
555,61,0.999887908,0.999887767,303.9869125,26.54758314
505,161,0.999971191,0.999971031,3846.621421,31.01316862
105,41,0.999915484,0.999899865,922.3448821,33.79806112
55,41,0.99992738,0.999917696,2239.25992,50.5171033
205,41,0.999857439,0.999856922,372.5397455,27.47321513
605,1,0.978905722,0.978900632,16.03073258,40.72714723
155,121,0.999987128,0.99997942,6527.65577,52.22633962
305,41,0.999851035,0.999848519,272.0337934,26.54595802
405,101,0.999967625,0.999967524,1095.116941,28.73304106
105,121,0.999977481,0.999973378,10138.30735,67.61071323
655,61,0.999887347,0.999887293,272.8230194,26.72043654
155,1,0.993689951,0.993457951,0.094391812,36.19230265
155,161,0.99998064,0.999977286,11662.06222,63.59455162
255,181,0.999980518,0.999979801,8618.695738,48.76987543
105,101,0.999975623,0.99997373,7176.948149,60.49829661
405,1,0.978473961,0.978469408,13.98145414,39.4970331
205,121,0.999978216,0.999974889,4551.763249,42.90404963
555,41,0.999849113,0.999846534,200.1854285,27.16244246
405,121,0.99996938,0.999967774,2130.23415,30.30549204
305,81,0.999941715,0.999941677,1127.794698,29.21894939
405,141,0.999970749,0.999969966,3679.285348,32.10893622
605,21,0.999711069,0.999710576,71.95116332,29.57913828
455,81,0.999937828,0.999937273,796.9688099,27.04667566
355,141,0.999972016,0.999971544,3976.231619,34.07601431
305,1,0.983935878,0.983926426,11.9016914,38.57872468
205,161,0.99998082,0.999976888,8910.673972,52.4540299
455,141,0.999968998,0.999968828,3405.367277,30.69381312
555,121,0.999965235,0.999964996,1725.117968,27.88956277
155,101,0.999976959,0.99997537,4470.350369,45.90599727
655,21,0.999705166,0.999705033,71.39674642,29.88184775
105,61,0.999940445,0.999934891,2370.945889,42.45399514
105,21,0.999710874,0.999710767,190.7996721,27.47321513
605,41,0.999844448,0.999844425,159.151115,27.37494627
155,121,0.999980272,0.999974685,6569.731698,52.22633962
605,161,0.999975179,0.999971366,3308.271244,29.23574705
505,101,0.999974212,0.999966837,827.7165719,27.47321513
305,181,0.99997929,0.999978515,7065.105103,43.05932402
55,61,0.999957552,0.99994958,5406.397659,66.16343944
555,1,0.984754246,0.984743871,15.08729687,40.47024549
405,81,0.999938908,0.999938877,846.643155,27.47321513
155,41,0.999866084,0.999863006,515.0644156,29.18626331
605,181,0.999973587,0.999973007,2934.966416,30.31953717
405,1,0.978713719,0.978708756,13.98292066,39.4970331
455,1,0.979210249,0.97920476,14.55002599,39.8630296
205,81,0.99994949,0.999949354,1812.191293,33.99031634
555,81,0.999936706,0.999934497,679.6160959,26.62465765
605,1,0.980508733,0.980502251,16.00153253,40.72714723
255,121,0.999975667,0.999973082,3436.406105,37.44761999
655,141,0.99996601,0.999965775,2923.158322,27.82249898
255,41,0.999880916,0.999868253,423.2559503,26.78631423
655,1,0.984982086,0.984971434,15.98321031,40.96008058
105,121,0.999977384,0.999974057,10117.82738,67.61071323
655,181,0.999973028,0.999972483,2594.20403,29.55865137
255,181,0.999981005,0.999978538,8734.382073,48.76987543
155,121,0.999979367,0.999977975,6474.120817,52.22633962
655,1,0.978943951,0.978938836,16.46785207,40.96008058
655,61,0.999887597,0.999887456,272.5255387,26.72043654
405,181,0.999976944,0.999976068,5081.951114,36.21221828
105,1,0.982546589,0.982538495,7.038570047,34.71188127
155,81,0.999956927,0.999956687,2640.984645,39.66876315
555,61,0.999887663,0.999887609,304.6597291,26.54758314
155,81,0.999956746,0.999956187,2640.760038,39.66876315
305,121,0.999972419,0.999972154,2718.801854,34.05679297
455,21,0.999684623,0.99968458,54.79084366,28.54770729
305,101,0.999971075,0.999970939,1660.097848,31.46570468
155,141,0.999979496,0.999977248,8962.574579,58.23593864
355,161,0.999974671,0.99997439,5127.861133,36.50506698
505,141,0.99997718,0.999972326,3235.995134,29.65142881
305,1,0.979993718,0.979987593,12.65736859,38.57872468
255,101,0.999973426,0.999972652,2217.963007,34.03005425
555,121,0.999965937,0.999964635,1765.424206,27.88956277
505,181,0.999975006,0.999974325,3810.509012,32.50769878
255,101,0.999973599,0.999971726,2257.79369,34.03005425
55,1,0.977697294,0.977693193,5.272976852,32.13654058
505,101,0.999966431,0.999963038,888.7947047,27.47321513
555,141,0.999967292,0.999967025,3124.364421,28.86998276
55,41,0.999928474,0.999926944,2360.80126,50.5171033
55,61,0.999975853,0.999960143,5303.253973,66.16343944
555,81,0.999949202,0.99994201,652.0994608,26.62465765
255,101,0.99997321,0.999973035,2171.227015,34.03005425
605,1,0.993965498,0.993707605,2.400273637,40.72714723
505,101,0.999965443,0.99996526,835.7945931,27.47321513
555,41,0.999846434,0.999846385,171.5445118,27.16244246
505,41,0.999846288,0.99984624,179.2944396,26.95774936
255,21,0.999654911,0.999654894,73.45687933,26.92963193
155,181,0.999982179,0.999978777,14338.39258,68.09989471
255,141,0.999976747,0.999974069,5303.413955,41.10736212
55,81,0.999961649,0.999957213,9213.218212,75.42505606
555,1,0.993950496,0.993694079,2.215920647,40.47024549
355,181,0.99998425,0.999980231,5936.697984,39.07305676
55,81,0.999961833,0.999954645,9254.005492,75.42505606
305,181,0.99998002,0.999977045,7151.780824,43.05932402
455,1,0.993914641,0.993661706,1.813202266,39.8630296
305,161,0.999976962,0.999974863,5990.696033,39.91754646
655,41,0.999849612,0.99984697,194.3619793,27.58957249
355,61,0.999891783,0.999889556,450.2913073,26.9449749
405,21,0.999661841,0.999661822,57.59950627,28.15981123
105,41,0.999883706,0.999883657,926.4763994,33.79806112
455,141,0.999969478,0.999968792,3451.543094,30.69381312
255,181,0.999980617,0.999979505,8650.188737,48.76987543
455,121,0.999975237,0.999969497,1924.388779,29.23011335
355,61,0.99989217,0.999891661,452.3587128,26.9449749
5,1,0.993464981,0.993278926,3.311473466,27.47321513
505,41,0.999844024,0.999844002,172.57403,26.95774936
355,101,0.999969344,0.999969108,1343.657722,29.8248699
255,81,0.999943145,0.999940405,1412.569341,30.97108643
255,81,0.999943983,0.999943223,1406.176684,30.97108643
355,61,0.999892057,0.999891999,457.5307708,26.9449749
405,161,0.999979169,0.999974957,4593.6895,34.09049771
105,21,0.999722226,0.999719343,196.2156717,27.47321513
155,181,0.999981694,0.999979372,14267.48955,68.09989471
305,161,0.999976254,0.999975865,5900.697006,39.91754646
155,41,0.999895349,0.999881586,624.5956803,29.18626331
505,81,0.99993677,0.999934551,732.3375276,26.78130181
555,161,0.999971726,0.99996925,3623.623363,30.01069176
105,141,0.99997746,0.999973835,13082.2463,72.81828741
105,1,0.993598215,0.99337456,-0.339062456,34.71188127
155,141,0.999980933,0.999975979,9079.501095,58.23593864
155,21,0.999695806,0.999695711,115.9678119,26.5512998
355,81,0.999939799,0.99993961,984.1080143,28.14718233
205,41,0.999855204,0.999855151,376.9717675,27.47321513
255,61,0.999899716,0.999899646,678.5156765,28.44463953
155,61,0.999919933,0.999918924,1313.804998,33.92505637
205,21,0.999700385,0.999700015,90.40974611,26.60425075
255,141,0.999985437,0.999979403,5301.623423,41.10736212
655,101,0.999963524,0.999963128,649.1226746,26.70681263
205,81,0.999961695,0.999953252,1860.752867,33.99031634
205,121,0.9999779,0.999975919,4527.438775,42.90404963
655,121,0.999965281,0.999962369,1659.322049,27.16650452
605,141,0.999966887,0.999966348,3038.111967,28.27670525
505,21,0.99971123,0.999708149,74.49133128,28.91337572
455,41,0.999846294,0.999846247,189.6449241,26.7703314
355,161,0.999975996,0.999972989,5228.429613,36.50506698
355,121,0.999971775,0.999968099,2397.14085,31.82994294
355,121,0.999970447,0.999970055,2339.43656,31.82994294
5,1,0.978442085,0.978437425,9.249500405,27.47321513
105,101,0.999975647,0.999971118,7207.596052,60.49829661
205,121,0.99997875,0.999973725,4572.974564,42.90404963
455,61,0.999888422,0.999888397,359.0948694,26.54422965
355,81,0.999938494,0.99993613,999.9596694,28.14718233
405,61,0.99989036,0.999890214,397.904756,26.66868379
405,101,0.999976544,0.999968829,1133.139459,28.73304106
605,121,0.999965192,0.999963941,1704.768095,27.47321513
455,21,0.999758778,0.999735057,51.15763928,28.54770729
555,81,0.999937957,0.999937893,656.9328035,26.62465765
205,81,0.999948046,0.999944855,1837.008133,33.99031634
405,101,0.999968281,0.999966959,1172.927056,28.73304106
255,21,0.999691218,0.99969112,68.78706758,26.92963193
105,41,0.999885731,0.999885447,889.8823397,33.79806112
655,61,0.999887223,0.999885109,267.5883744,26.72043654
555,41,0.999848962,0.999848474,181.1492747,27.16244246
505,181,0.999974858,0.999974511,3782.616404,32.50769878
255,1,0.979863266,0.979857229,11.79027229,37.9722011
255,141,0.999976037,0.999975118,5245.493554,41.10736212
155,121,0.999979463,0.999977384,6491.742869,52.22633962
155,161,0.99998702,0.999981706,11697.07081,63.59455162
205,121,0.999977586,0.999976909,4487.854265,42.90404963
355,21,0.999706171,0.999703348,75.73189879,27.75233043
605,61,0.99988762,0.999887146,284.9305353,26.6205658
355,141,0.999981303,0.999975928,3991.949491,34.07601431
105,81,0.999965694,0.999964933,4534.773285,51.78060279
655,161,0.999969916,0.999968767,3214.538076,28.62991968
105,1,0.977913969,0.977909753,8.017372382,34.71188127
205,141,0.999979705,0.999975186,6682.311709,47.68750787
605,81,0.999937858,0.999937828,606.0347834,26.54337605
355,181,0.999978365,0.999976559,5988.155863,39.07305676
155,181,0.99998179,0.999979082,14287.58953,68.09989471
405,61,0.999889671,0.999889645,400.6892007,26.66868379
255,161,0.999978119,0.999977128,7052.255261,44.9112807
405,1,0.979145813,0.979140366,13.98591654,39.4970331
355,81,0.999939946,0.999939912,962.2953015,28.14718233
255,161,0.999978324,0.999976705,7084.122706,44.9112807
105,141,0.999977743,0.999973467,13131.42704,72.81828741
505,41,0.999875603,0.999863296,333.0053544,26.95774936
5,1,0.979226133,0.979220692,9.141861386,27.47321513
455,21,0.999709511,0.999706514,73.60576296,28.54770729
505,141,0.999967953,0.999967804,3235.743304,29.65142881
555,141,0.99997625,0.999971499,3095.90094,28.86998276
505,181,0.999974754,0.999974568,3755.206077,32.50769878
355,1,0.980105869,0.980099668,13.38734538,39.07354988
555,1,0.978864262,0.978859201,15.5663613,40.47024549
655,161,0.999969545,0.999969029,3203.433203,28.62991968
155,101,0.999985274,0.999975868,4488.734847,45.90599727
55,1,0.977873987,0.977869528,5.237068343,32.13654058
555,21,0.999701542,0.999701418,61.30624573,29.25681847
455,81,0.999938375,0.999938308,772.1922755,27.04667566
455,61,0.999889067,0.999888586,354.9502245,26.54422965
305,181,0.999979188,0.999978724,7036.840016,43.05932402
505,181,0.999975218,0.999973873,3829.893258,32.50769878
205,21,0.999654942,0.999654926,89.24254269,26.60425075
155,1,0.978273233,0.978268543,9.606362261,36.19230265
505,141,0.999969882,0.999967032,3300.977053,29.65142881
355,181,0.999978673,0.999975907,5999.470974,39.07305676
405,161,0.999973306,0.999973084,4583.089184,34.09049771
655,101,0.999963273,0.999963108,629.0265338,26.70681263
605,181,0.999973782,0.999972587,2950.619181,30.31953717
205,121,0.999985388,0.999978065,4548.969477,42.90404963
605,101,0.999964457,0.999963336,721.6420164,26.87101737
155,181,0.999981936,0.999978855,14311.06653,68.09989471
255,81,0.999944678,0.999944632,1379.584871,30.97108643
305,81,0.999941529,0.99994132,1147.374126,29.21894939
555,141,0.999968091,0.999966788,3165.666329,28.86998276
305,101,0.999971353,0.999970721,1703.568998,31.46570468
205,61,0.999907003,0.999906963,922.8596288,30.26413302
455,101,0.99996703,0.999965786,1007.348034,27.98819554
505,21,0.999667307,0.999667287,59.25905419,28.91337572
655,141,0.999967752,0.999965126,2954.707181,27.82249898
605,181,0.999973444,0.999973158,2908.535674,30.31953717
255,181,0.99998138,0.999978156,8778.350898,48.76987543
255,1,0.978272983,0.978268557,11.97949828,37.9722011
305,81,0.999953759,0.999946153,1135.838399,29.21894939
305,181,0.999985729,0.999981511,7098.388587,43.05932402
305,181,0.999979678,0.999977593,7129.81928,43.05932402
405,181,0.999976687,0.999976426,5024.213445,36.21221828
255,61,0.999899869,0.999899686,671.8033672,28.44463953
255,121,0.999975303,0.999973948,3412.142779,37.44761999
305,141,0.999975528,0.999971886,4537.274798,36.89686363
505,21,0.999686844,0.9996868,56.95451152,28.91337572
555,81,0.999937482,0.999936941,680.290102,26.62465765
105,61,0.999941124,0.999940351,2461.204572,42.45399514
205,141,0.999978479,0.999976115,6612.876762,47.68750787
605,41,0.99984933,0.999846721,196.4635657,27.37494627
505,61,0.999905035,0.999897417,353.6164503,26.51511334
455,101,0.999967441,0.999963947,1016.686536,27.98819554
355,41,0.999848753,0.999848626,229.876544,26.52400128
605,21,0.99970339,0.999703262,66.32520044,29.57913828
305,101,0.999979869,0.999971604,1736.566682,31.46570468
505,81,0.999938079,0.999938013,707.7313011,26.78130181
455,61,0.999888902,0.999888848,358.0830179,26.54422965
55,21,0.999778004,0.999773194,471.6539843,33.44319652
655,121,0.999964145,0.999963656,1640.447293,27.16650452
555,181,0.999974629,0.999972355,3340.243809,31.27999821
305,161,0.999977555,0.999974302,6014.268941,39.91754646
455,121,0.999967113,0.99996697,1901.331112,29.23011335
655,1,0.979414005,0.979408382,16.46528,40.96008058
555,181,0.99997424,0.999973617,3335.332602,31.27999821
455,41,0.999849014,0.999846489,214.7953969,26.7703314
455,41,0.99984402,0.999843998,183.0633004,26.7703314
